date,symbol,open,high,low,close,volume
1997-09-09 00:00:00+00:00,CME_MINI:ES1!,933.75,941.25,932.75,934.0,11387.0
1997-09-10 00:00:00+00:00,CME_MINI:ES1!,933.75,934.25,914.5,915.25,2523.0
1997-09-11 00:00:00+00:00,CME_MINI:ES1!,916.0,917.5,900.5,908.5,928.0
1997-09-12 00:00:00+00:00,CME_MINI:ES1!,908.0,926.25,904.0,924.0,208.0
1997-09-15 00:00:00+00:00,CME_MINI:ES1!,933.5,939.75,929.0,931.5,11874.0
1997-09-16 00:00:00+00:00,CME_MINI:ES1!,931.25,960.0,930.25,956.0,11093.0
1997-09-17 00:00:00+00:00,CME_MINI:ES1!,956.0,962.5,951.5,956.0,11620.0
1997-09-18 00:00:00+00:00,CME_MINI:ES1!,955.75,970.5,954.75,957.75,10005.0
1997-09-19 00:00:00+00:00,CME_MINI:ES1!,957.75,963.25,953.0,960.5,12126.0
1997-09-22 00:00:00+00:00,CME_MINI:ES1!,960.25,972.0,960.25,966.25,10198.0
1997-09-23 00:00:00+00:00,CME_MINI:ES1!,965.25,967.25,956.5,962.0,14580.0
1997-09-24 00:00:00+00:00,CME_MINI:ES1!,961.5,970.5,952.0,954.5,14114.0
1997-09-25 00:00:00+00:00,CME_MINI:ES1!,953.75,957.5,945.5,946.5,12097.0
1997-09-26 00:00:00+00:00,CME_MINI:ES1!,946.25,956.5,946.25,953.25,11152.0
1997-09-29 00:00:00+00:00,CME_MINI:ES1!,953.25,964.5,950.25,961.75,15239.0
1997-09-30 00:00:00+00:00,CME_MINI:ES1!,961.0,965.25,952.75,954.5,14015.0
1997-10-01 00:00:00+00:00,CME_MINI:ES1!,955.5,966.5,954.5,963.5,9651.0
1997-10-02 00:00:00+00:00,CME_MINI:ES1!,963.25,969.5,961.0,969.0,13792.0
1997-10-03 00:00:00+00:00,CME_MINI:ES1!,969.25,985.5,961.75,975.5,9245.0
1997-10-06 00:00:00+00:00,CME_MINI:ES1!,976.75,983.75,976.5,981.5,11896.0
1997-10-07 00:00:00+00:00,CME_MINI:ES1!,981.5,992.25,977.5,989.5,16204.0
1997-10-08 00:00:00+00:00,CME_MINI:ES1!,989.5,991.75,974.75,982.25,9407.0
1997-10-09 00:00:00+00:00,CME_MINI:ES1!,982.25,983.25,969.25,978.0,6506.0
1997-10-10 00:00:00+00:00,CME_MINI:ES1!,978.75,981.0,964.0,976.75,3914.0
1997-10-13 00:00:00+00:00,CME_MINI:ES1!,976.75,981.75,974.0,976.25,11923.0
1997-10-14 00:00:00+00:00,CME_MINI:ES1!,976.25,981.5,968.5,977.5,9715.0
1997-10-15 00:00:00+00:00,CME_MINI:ES1!,975.75,976.75,968.0,973.5,12998.0
1997-10-16 00:00:00+00:00,CME_MINI:ES1!,973.5,981.25,955.25,959.75,13573.0
1997-10-17 00:00:00+00:00,CME_MINI:ES1!,959.0,960.0,935.5,948.75,11772.0
1997-10-20 00:00:00+00:00,CME_MINI:ES1!,963.5,963.5,962.25,962.25,10576.0
1997-10-21 00:00:00+00:00,CME_MINI:ES1!,964.25,980.5,964.25,979.5,10284.0
1997-10-22 00:00:00+00:00,CME_MINI:ES1!,979.0,980.5,970.5,974.25,13567.0
1997-10-23 00:00:00+00:00,CME_MINI:ES1!,973.0,974.25,947.5,955.5,14924.0
1997-10-24 00:00:00+00:00,CME_MINI:ES1!,956.0,969.0,941.5,944.0,15394.0
1997-10-27 00:00:00+00:00,CME_MINI:ES1!,942.5,944.0,874.0,874.0,17082.0
1997-10-28 00:00:00+00:00,CME_MINI:ES1!,862.0,933.0,844.0,924.5,16552.0
1997-10-29 00:00:00+00:00,CME_MINI:ES1!,924.5,942.0,916.25,924.5,13868.0
1997-10-30 00:00:00+00:00,CME_MINI:ES1!,924.5,928.5,902.0,903.0,14353.0
1997-10-31 00:00:00+00:00,CME_MINI:ES1!,902.0,926.25,889.75,924.0,11469.0
1997-11-03 00:00:00+00:00,CME_MINI:ES1!,923.75,948.0,921.25,945.75,11354.0
1997-11-04 00:00:00+00:00,CME_MINI:ES1!,946.0,946.75,936.25,945.75,11065.0
1997-11-05 00:00:00+00:00,CME_MINI:ES1!,941.5,956.0,938.25,947.0,8873.0
1997-11-06 00:00:00+00:00,CME_MINI:ES1!,946.5,947.5,937.25,942.25,13527.0
1997-11-07 00:00:00+00:00,CME_MINI:ES1!,942.25,943.0,916.5,931.25,9940.0
1997-11-10 00:00:00+00:00,CME_MINI:ES1!,930.0,940.5,922.75,926.25,6889.0
1997-11-11 00:00:00+00:00,CME_MINI:ES1!,926.0,929.75,924.25,926.5,14190.0
1997-11-12 00:00:00+00:00,CME_MINI:ES1!,926.5,929.5,905.5,908.25,13929.0
1997-11-13 00:00:00+00:00,CME_MINI:ES1!,907.0,922.5,902.5,919.25,11389.0
1997-11-14 00:00:00+00:00,CME_MINI:ES1!,920.0,932.5,920.0,932.5,9936.0
1997-11-17 00:00:00+00:00,CME_MINI:ES1!,932.0,954.5,932.0,950.0,10836.0
1997-11-18 00:00:00+00:00,CME_MINI:ES1!,950.0,954.5,940.0,942.5,11297.0
1997-11-19 00:00:00+00:00,CME_MINI:ES1!,942.25,951.5,936.25,947.75,10550.0
1997-11-20 00:00:00+00:00,CME_MINI:ES1!,948.0,965.5,947.0,963.0,9902.0
