,date,symbol,open,high,low,close,volume
0,1985-12-01 23:00:00+00:00,ICEUS:DX1!,124.8,125.8,124.69,125.58,0.0
1,1985-12-03 01:00:00+00:00,ICEUS:DX1!,126.28,126.55,125.91,126.04,0.0
2,1985-12-04 01:00:00+00:00,ICEUS:DX1!,125.5,125.66,125.32,125.44,0.0
3,1985-12-05 01:00:00+00:00,ICEUS:DX1!,126.08,126.17,125.45,125.52,0.0
4,1985-12-06 01:00:00+00:00,ICEUS:DX1!,125.83,126.3,125.69,126.08,0.0
5,1985-12-08 23:00:00+00:00,ICEUS:DX1!,126.3,126.77,126.21,126.52,0.0
6,1985-12-10 01:00:00+00:00,ICEUS:DX1!,126.87,127.22,126.78,127.03,0.0
7,1985-12-11 01:00:00+00:00,ICEUS:DX1!,127.65,128.18,126.95,127.09,0.0
8,1985-12-12 01:00:00+00:00,ICEUS:DX1!,126.51,126.75,126.08,126.58,0.0
9,1985-12-13 01:00:00+00:00,ICEUS:DX1!,126.25,126.75,126.11,126.75,0.0
10,1985-12-15 23:00:00+00:00,ICEUS:DX1!,126.7,126.83,125.91,126.08,0.0
11,1985-12-17 01:00:00+00:00,ICEUS:DX1!,126.05,126.27,125.64,126.23,0.0
12,1985-12-18 01:00:00+00:00,ICEUS:DX1!,126.6,127.2,126.6,127.13,0.0
13,1985-12-19 01:00:00+00:00,ICEUS:DX1!,126.95,127.05,126.45,126.62,0.0
14,1985-12-20 01:00:00+00:00,ICEUS:DX1!,126.7,126.94,126.26,126.44,0.0
15,1985-12-22 23:00:00+00:00,ICEUS:DX1!,126.5,126.62,126.05,126.25,0.0
16,1985-12-24 01:00:00+00:00,ICEUS:DX1!,126.3,126.32,126.0,126.04,0.0
17,1985-12-26 01:00:00+00:00,ICEUS:DX1!,126.15,126.23,125.8,126.07,0.0
18,1985-12-27 01:00:00+00:00,ICEUS:DX1!,125.15,125.19,124.34,124.58,0.0
19,1985-12-29 23:00:00+00:00,ICEUS:DX1!,124.4,124.6,123.99,124.25,0.0
20,1985-12-31 01:00:00+00:00,ICEUS:DX1!,123.98,124.02,123.5,123.55,0.0
21,1986-01-02 01:00:00+00:00,ICEUS:DX1!,123.63,124.06,122.99,123.11,0.0
22,1986-01-03 01:00:00+00:00,ICEUS:DX1!,124.35,124.9,124.25,124.77,0.0
23,1986-01-05 23:00:00+00:00,ICEUS:DX1!,124.85,124.9,124.05,124.13,0.0
24,1986-01-07 01:00:00+00:00,ICEUS:DX1!,123.65,124.15,123.5,123.89,0.0
25,1986-01-08 01:00:00+00:00,ICEUS:DX1!,123.87,125.1,123.87,124.93,0.0
