datetime,symbol,open,high,low,close,volume
2017-12-18 00:00:00,CME:BTC1!,20650.0,20650.0,12265.0,14135.0,5650.0
2017-12-25 00:00:00,CME:BTC1!,13900.0,16545.0,13360.0,14470.0,2737.0
2018-01-01 00:00:00,CME:BTC1!,13955.0,16845.0,13080.0,16590.0,3027.0
2018-01-08 00:00:00,CME:BTC1!,16425.0,16455.0,12820.0,13945.0,4793.0
2018-01-15 00:00:00,CME:BTC1!,13600.0,14280.0,9225.0,11360.0,7896.0
2018-01-22 00:00:00,CME:BTC1!,11300.0,11830.0,9865.0,10965.0,3563.0
2018-01-29 00:00:00,CME:BTC1!,11510.0,11775.0,7750.0,8585.0,6462.0
2018-02-05 00:00:00,CME:BTC1!,8305.0,8770.0,5970.0,8610.0,7469.0
2018-02-12 00:00:00,CME:BTC1!,8380.0,10265.0,8075.0,10020.0,5057.0
2018-02-19 00:00:00,CME:BTC1!,10350.0,11760.0,9530.0,9950.0,3233.0
2018-02-26 00:00:00,CME:BTC1!,9680.0,11215.0,9270.0,11060.0,4729.0
2018-03-05 00:00:00,CME:BTC1!,11350.0,11700.0,8390.0,9015.0,9724.0
2018-03-11 23:00:00,CME:BTC1!,9490.0,9940.0,7700.0,8555.0,14903.0
2018-03-18 23:00:00,CME:BTC1!,8275.0,9185.0,8100.0,8615.0,11643.0
2018-03-26 00:00:00,CME:BTC1!,8650.0,8650.0,7070.0,7335.0,5236.0
2018-04-02 00:00:00,CME:BTC1!,6905.0,7520.0,6485.0,6630.0,15744.0
2018-04-09 00:00:00,CME:BTC1!,7025.0,8235.0,6605.0,8105.0,14846.0
2018-04-16 00:00:00,CME:BTC1!,8005.0,8585.0,7805.0,8540.0,14396.0
2018-04-23 00:00:00,CME:BTC1!,8910.0,9750.0,8670.0,9080.0,11144.0
2018-04-30 00:00:00,CME:BTC1!,9375.0,9840.0,8815.0,9670.0,16174.0
2018-05-07 00:00:00,CME:BTC1!,9605.0,9705.0,8380.0,8625.0,20198.0
2018-05-14 00:00:00,CME:BTC1!,8660.0,8900.0,7915.0,8230.0,21216.0
2018-05-21 00:00:00,CME:BTC1!,8525.0,8680.0,7275.0,7440.0,8496.0
2018-05-28 00:00:00,CME:BTC1!,7190.0,7660.0,7050.0,7440.0,11822.0
2018-06-04 00:00:00,CME:BTC1!,7715.0,7900.0,7360.0,7655.0,7882.0
2018-06-11 00:00:00,CME:BTC1!,7120.0,7120.0,6100.0,6530.0,19828.0
2018-06-18 00:00:00,CME:BTC1!,6495.0,6840.0,5960.0,6165.0,11432.0
2018-06-25 00:00:00,CME:BTC1!,6150.0,6345.0,5755.0,5865.0,11843.0
2018-07-02 00:00:00,CME:BTC1!,6275.0,6700.0,6260.0,6565.0,12754.0
2018-07-09 00:00:00,CME:BTC1!,6745.0,6785.0,6060.0,6165.0,14202.0
2018-07-16 00:00:00,CME:BTC1!,6370.0,7700.0,6320.0,7340.0,27267.0
2018-07-23 00:00:00,CME:BTC1!,7380.0,8490.0,7335.0,8200.0,31284.0
2018-07-30 00:00:00,CME:BTC1!,8140.0,8265.0,7270.0,7370.0,37928.0
2018-08-06 00:00:00,CME:BTC1!,7080.0,7155.0,6105.0,6390.0,31524.0
2018-08-13 00:00:00,CME:BTC1!,6405.0,6600.0,5850.0,6480.0,30367.0
2018-08-20 00:00:00,CME:BTC1!,6490.0,6870.0,6205.0,6615.0,17289.0
2018-08-27 00:00:00,CME:BTC1!,6655.0,7125.0,6650.0,7045.0,9223.0
2018-09-03 00:00:00,CME:BTC1!,7305.0,7410.0,6215.0,6390.0,18161.0
2018-09-10 00:00:00,CME:BTC1!,6340.0,6575.0,6120.0,6525.0,9809.0
2018-09-17 00:00:00,CME:BTC1!,6470.0,6775.0,6035.0,6740.0,11482.0
2018-09-24 00:00:00,CME:BTC1!,6665.0,6805.0,6315.0,6670.0,11722.0
2018-10-01 00:00:00,CME:BTC1!,6560.0,6625.0,6345.0,6530.0,6589.0
2018-10-08 00:00:00,CME:BTC1!,6530.0,6675.0,6030.0,6185.0,10663.0
2018-10-15 00:00:00,CME:BTC1!,6165.0,6770.0,6110.0,6380.0,13364.0
2018-10-22 00:00:00,CME:BTC1!,6415.0,6465.0,6320.0,6390.0,7823.0
2018-10-28 23:00:00,CME:BTC1!,6390.0,6440.0,6170.0,6345.0,11878.0
2018-11-05 00:00:00,CME:BTC1!,6400.0,6545.0,6240.0,6335.0,16943.0
2018-11-12 00:00:00,CME:BTC1!,6290.0,6395.0,5155.0,5450.0,25520.0
2018-11-19 00:00:00,CME:BTC1!,5500.0,5515.0,4015.0,4190.0,35834.0
2018-11-26 00:00:00,CME:BTC1!,3965.0,4365.0,3515.0,3930.0,22555.0
2018-12-03 00:00:00,CME:BTC1!,4090.0,4130.0,3135.0,3300.0,21025.0
2018-12-10 00:00:00,CME:BTC1!,3495.0,3580.0,3120.0,3145.0,13414.0
2018-12-17 00:00:00,CME:BTC1!,3180.0,4150.0,3165.0,3775.0,22976.0
2018-12-24 00:00:00,CME:BTC1!,3950.0,4265.0,3525.0,3870.0,8598.0
2018-12-31 00:00:00,CME:BTC1!,3800.0,3875.0,3600.0,3745.0,12727.0
2019-01-07 00:00:00,CME:BTC1!,3990.0,4095.0,3525.0,3635.0,20571.0
2019-01-14 00:00:00,CME:BTC1!,3490.0,3700.0,3400.0,3585.0,18516.0
2019-01-21 00:00:00,CME:BTC1!,3525.0,3620.0,3390.0,3505.0,13290.0
2019-01-28 00:00:00,CME:BTC1!,3485.0,3515.0,3300.0,3425.0,18867.0
2019-02-04 00:00:00,CME:BTC1!,3380.0,3730.0,3310.0,3615.0,19899.0
2019-02-11 00:00:00,CME:BTC1!,3610.0,3650.0,3530.0,3565.0,16549.0
2019-02-18 00:00:00,CME:BTC1!,3600.0,3985.0,3595.0,3930.0,22274.0
2019-02-25 00:00:00,CME:BTC1!,3770.0,3875.0,3620.0,3820.0,22353.0
2019-03-04 00:00:00,CME:BTC1!,3780.0,3920.0,3655.0,3890.0,21523.0
2019-03-10 23:00:00,CME:BTC1!,3885.0,3915.0,3775.0,3900.0,16006.0
2019-03-17 23:00:00,CME:BTC1!,3965.0,4060.0,3900.0,3980.0,13121.0
2019-03-24 23:00:00,CME:BTC1!,3965.0,4105.0,3845.0,4075.0,11303.0
2019-04-01 00:00:00,CME:BTC1!,4090.0,5325.0,4040.0,5020.0,59789.0
2019-04-08 00:00:00,CME:BTC1!,5165.0,5480.0,4900.0,5065.0,52174.0
2019-04-15 00:00:00,CME:BTC1!,5110.0,5325.0,4945.0,5295.0,30024.0
2019-04-22 00:00:00,CME:BTC1!,5275.0,5665.0,4930.0,5080.0,31804.0
2019-04-29 00:00:00,CME:BTC1!,5095.0,5800.0,5070.0,5670.0,28852.0
2019-05-06 00:00:00,CME:BTC1!,5735.0,6430.0,5565.0,6365.0,40952.0
2019-05-13 00:00:00,CME:BTC1!,7150.0,8445.0,6320.0,7180.0,106644.0
