date,open,high,low,close,volume
1988-01-04 15:30:00,256.02,256.02,256.02,256.02,0.0
1988-01-05 15:30:00,258.77,258.77,258.77,258.77,0.0
1988-01-06 15:30:00,259.03,259.03,259.03,259.03,0.0
1988-01-07 15:30:00,261.21,261.21,261.21,261.21,0.0
1988-01-08 15:30:00,243.55,243.55,243.55,243.55,0.0
1988-01-11 15:30:00,247.67,247.67,247.67,247.67,0.0
1988-01-12 15:30:00,245.6,245.6,245.6,245.6,0.0
1988-01-13 15:30:00,246.02,246.02,246.02,246.02,0.0
1988-01-14 15:30:00,246.09,246.09,246.09,246.09,0.0
1988-01-15 15:30:00,252.29,252.29,252.29,252.29,0.0
1988-01-18 15:30:00,252.12,252.12,252.12,252.12,0.0
1988-01-19 15:30:00,249.57,249.57,249.57,249.57,0.0
1988-01-20 15:30:00,242.87,242.87,242.87,242.87,0.0
1988-01-21 15:30:00,243.38,243.38,243.38,243.38,0.0
1988-01-22 15:30:00,246.75,246.75,246.75,246.75,0.0
1988-01-25 15:30:00,252.51,252.51,252.51,252.51,0.0
1988-01-26 15:30:00,249.95,249.95,249.95,249.95,0.0
1988-01-27 15:30:00,249.76,249.76,249.76,249.76,0.0
1988-01-28 15:30:00,253.67,253.67,253.67,253.67,0.0
1988-01-29 15:30:00,257.47,257.47,257.47,257.47,0.0
1988-02-01 15:30:00,255.51,255.51,255.51,255.51,0.0
1988-02-02 15:30:00,256.15,256.15,256.15,256.15,0.0
1988-02-03 15:30:00,252.79,252.79,252.79,252.79,0.0
1988-02-04 15:30:00,252.97,252.97,252.97,252.97,0.0
1988-02-05 15:30:00,251.92,251.92,251.92,251.92,0.0
1988-02-08 15:30:00,250.1,250.1,250.1,250.1,0.0
1988-02-09 15:30:00,252.77,252.77,252.77,252.77,0.0
1988-02-10 15:30:00,257.76,257.76,257.76,257.76,0.0
1988-02-11 15:30:00,257.06,257.06,257.06,257.06,0.0
1988-02-12 15:30:00,258.87,258.87,258.87,258.87,0.0
1988-02-16 15:30:00,261.14,261.14,261.14,261.14,0.0
1988-02-17 15:30:00,260.54,260.54,260.54,260.54,0.0
1988-02-18 15:30:00,259.23,259.23,259.23,259.23,0.0
1988-02-19 15:30:00,262.96,262.96,262.96,262.96,0.0
1988-02-22 15:30:00,267.08,267.08,267.08,267.08,0.0
1988-02-23 15:30:00,266.48,266.48,266.48,266.48,0.0
1988-02-24 15:30:00,265.96,265.96,265.96,265.96,0.0
1988-02-25 15:30:00,263.1,263.1,263.1,263.1,0.0
1988-02-26 15:30:00,263.99,263.99,263.99,263.99,0.0
1988-02-29 15:30:00,269.48,269.48,269.48,269.48,0.0
1988-03-01 15:30:00,269.44,269.44,269.44,269.44,0.0
1988-03-02 15:30:00,269.75,269.75,269.75,269.75,0.0
1988-03-03 15:30:00,269.65,269.65,269.65,269.65,0.0
1988-03-04 15:30:00,269.1,269.1,269.1,269.1,0.0
1988-03-07 15:30:00,269.22,269.22,269.22,269.22,0.0
1988-03-08 15:30:00,271.34,271.34,271.34,271.34,0.0
1988-03-09 15:30:00,271.03,271.03,271.03,271.03,0.0
1988-03-10 15:30:00,265.78,265.78,265.78,265.78,0.0
1988-03-11 15:30:00,266.9,266.9,266.9,266.9,0.0
1988-03-14 15:30:00,268.36,268.36,268.36,268.36,0.0
1988-03-15 15:30:00,268.13,268.13,268.13,268.13,0.0
1988-03-16 15:30:00,270.87,270.87,270.87,270.87,0.0
1988-03-17 15:30:00,273.27,273.27,273.27,273.27,0.0
1988-03-18 15:30:00,273.18,273.18,273.18,273.18,0.0
1988-03-21 15:30:00,270.79,270.79,270.79,270.79,0.0
1988-03-22 15:30:00,270.9,270.9,270.9,270.9,0.0
1988-03-23 15:30:00,270.98,270.98,270.98,270.98,0.0
1988-03-24 15:30:00,265.38,265.38,265.38,265.38,0.0
1988-03-25 15:30:00,260.72,260.72,260.72,260.72,0.0
1988-03-28 16:30:00,260.28,260.28,260.28,260.28,0.0
1988-03-29 16:30:00,262.33,262.33,262.33,262.33,0.0
1988-03-30 16:30:00,260.32,260.32,260.32,260.32,0.0
1988-03-31 16:30:00,261.15,261.15,261.15,261.15,0.0
1988-04-04 15:30:00,258.41,258.41,258.41,258.41,0.0
1988-04-05 15:30:00,260.89,260.89,260.89,260.89,0.0
1988-04-06 15:30:00,267.94,267.94,267.94,267.94,0.0
1988-04-07 15:30:00,268.61,268.61,268.61,268.61,0.0
1988-04-08 15:30:00,271.92,271.92,271.92,271.92,0.0
1988-04-11 15:30:00,272.68,272.68,272.68,272.68,0.0
1988-04-12 15:30:00,273.9,273.9,273.9,273.9,0.0
1988-04-13 15:30:00,274.11,274.11,274.11,274.11,0.0
1988-04-14 15:30:00,262.21,262.21,262.21,262.21,0.0
1988-04-15 15:30:00,262.23,262.23,262.23,262.23,0.0
1988-04-18 15:30:00,261.68,261.68,261.68,261.68,0.0
1988-04-19 15:30:00,260.39,260.39,260.39,260.39,0.0
1988-04-20 15:30:00,258.58,258.58,258.58,258.58,0.0
1988-04-21 15:30:00,258.88,258.88,258.88,258.88,0.0
1988-04-22 15:30:00,262.64,262.64,262.64,262.64,0.0
1988-04-25 15:30:00,265.04,265.04,265.04,265.04,0.0
1988-04-26 15:30:00,266.61,266.61,266.61,266.61,0.0
1988-04-27 15:30:00,266.52,266.52,266.52,266.52,0.0
1988-04-28 15:30:00,265.32,265.32,265.32,265.32,0.0
1988-04-29 15:30:00,264.04,264.04,264.04,264.04,0.0
1988-05-02 15:30:00,264.33,264.33,264.33,264.33,0.0
1988-05-03 15:30:00,265.89,265.89,265.89,265.89,0.0
1988-05-04 15:30:00,263.23,263.23,263.23,263.23,0.0
1988-05-05 15:30:00,261.84,261.84,261.84,261.84,0.0
1988-05-06 15:30:00,260.59,260.59,260.59,260.59,0.0
1988-05-09 15:30:00,259.88,259.88,259.88,259.88,0.0
1988-05-10 15:30:00,261.01,261.01,261.01,261.01,0.0
1988-05-11 15:30:00,256.65,256.65,256.65,256.65,0.0
